OBJECTID	STATEFP10	COUNTYFP10	TRACTCE10	GEOID10	NAME10	NAMELSAD10	MTFCC10	FUNCSTAT10	ALAND10	AWATER10	INTPTLAT10	INTPTLON10	GlobalID
1	6	83	2103	6083002103	21.03	Census Tract 21.03	G5020	S	2838200	7603	34.9306689	-120.4270588	{7140A845-F8EE-45EE-952E-4D6D46C2D563}
2	6	83	2402	6083002402	24.02	Census Tract 24.02	G5020	S	16288573	44468	34.9287963	-120.4780833	{E96B4376-6DC3-47DC-84D3-6BC8319F4EC6}
3	6	83	2102	6083002102	21.02	Census Tract 21.02	G5020	S	1352551	0	34.9421111	-120.4267767	{BCA942EA-A558-456D-A704-D740AA3543FA}
4	6	83	2010	6083002010	20.1	Census Tract 20.10	G5020	S	2417990	0	34.8714281	-120.4100285	{E70DA60A-CFDD-451B-917F-F7AA9DD1F607}
5	6	83	2009	6083002009	20.09	Census Tract 20.09	G5020	S	2603281	0	34.8722878	-120.4277159	{A2B6C196-7EFB-455E-9EE7-4FE51C61B6ED}
6	6	83	2008	6083002008	20.08	Census Tract 20.08	G5020	S	3295314	0	34.8861824	-120.425077	{F819400D-8ACC-47D6-B99A-11988D87A61C}
7	6	83	2007	6083002007	20.07	Census Tract 20.07	G5020	S	5308996	2806	34.9079217	-120.4257095	{EE816EA1-FF0D-4010-B66F-89D4F7E2C73F}
8	6	11	500	6011000500	5	Census Tract 5	G5020	S	170218418	4285285	39.314744	-121.9636465	{BC3FC417-2591-427B-82D3-D849FAF03A54}
9	6	11	200	6011000200	2	Census Tract 2	G5020	S	215984498	851867	39.1863211	-122.0259021	{0E9A323A-669A-4822-AA5E-EF7819EC9218}
10	6	11	400	6011000400	4	Census Tract 4	G5020	S	1075612190	7687726	39.2881333	-122.4155716	{4E7D3BA2-FCA5-40EF-A516-DD85E1E1176F}
11	6	11	300	6011000300	3	Census Tract 3	G5020	S	952742204	195374	39.1078478	-122.2818535	{4BADEC1B-FADD-4F3E-83C1-387FEEACA107}
12	6	11	100	6011000100	1	Census Tract 1	G5020	S	565822059	1560768	39.003105	-122.0142763	{7E4654E2-562A-4CE1-A150-BDD0B6B369B7}
13	6	103	500	6103000500	5	Census Tract 5	G5020	S	8573921	115475	40.1970846	-122.2577045	{BDB5B887-7824-40E6-BC99-C1A6C38D486D}
14	6	103	600	6103000600	6	Census Tract 6	G5020	S	13058550	1139724	40.1913614	-122.2068646	{794A41EE-552F-4537-8083-7185F02A5263}
15	6	103	200	6103000200	2	Census Tract 2	G5020	S	248630273	1341657	40.3210457	-122.3353367	{2C26B9B8-B156-432B-BD7C-7732E9869276}
16	6	103	800	6103000800	8	Census Tract 8	G5020	S	130914697	2025357	40.0733075	-122.1795281	{6AE51974-8885-4518-AE71-E2F0C485ED5E}
17	6	103	700	6103000700	7	Census Tract 7	G5020	S	13550803	0	40.1524476	-122.2426817	{4F88438E-E3D7-43B8-A904-D8600B43A5CD}
18	6	103	900	6103000900	9	Census Tract 9	G5020	S	272047240	3233113	39.9701372	-122.0239555	{D50CD607-6C3E-4B18-BD3B-C56F69E386F5}
19	6	103	300	6103000300	3	Census Tract 3	G5020	S	3324982199	9631711	40.0579918	-122.6497624	{C921B1DB-82A9-410A-AB4A-AD669046FB41}
20	6	103	100	6103000100	1	Census Tract 1	G5020	S	2993523202	7749369	40.1943009	-121.8564922	{DB449383-3C0A-4715-8188-5137E5117A86}
21	6	103	1000	6103001000	10	Census Tract 10	G5020	S	177306956	4067809	39.8864854	-122.1205504	{8AA00371-7F68-4980-BBDB-F666AC52C2CC}
22	6	103	400	6103000400	4	Census Tract 4	G5020	S	285014962	2586751	40.2367374	-122.338894	{9C94CA49-432D-4C25-BCEC-938A93FA68E0}
23	6	103	1100	6103001100	11	Census Tract 11	G5020	S	172106978	385097	39.8868917	-122.2210805	{4B967F9C-030D-4AB6-BF21-85CE51219D6B}
24	6	83	990000	6083990000	9900	Census Tract 9900	G5020	S	0	2406070422	33.907571	-119.9592834	{03A5DA6E-3D51-4479-9B60-5EC12BB9522D}
25	6	83	980100	6083980100	9801	Census Tract 9801	G5020	S	506562772	271991957	33.9481863	-120.0482206	{142E9C4B-E4A5-4191-9AD6-80A3CB242B1D}
26	6	83	980000	6083980000	9800	Census Tract 9800	G5020	S	4472996	234870	34.4270203	-119.8393624	{E13EE26C-05B4-40A9-92F9-EFDE995ED5B7}
27	6	83	1704	6083001704	17.04	Census Tract 17.04	G5020	S	6231355	215834	34.3882739	-119.4905106	{51C23DAE-B135-435A-BF9A-F8BDDCF3138A}
28	6	83	2915	6083002915	29.15	Census Tract 29.15	G5020	S	1350813	110396	34.4174077	-119.8811091	{989C48ED-856A-4385-8C1A-8F5943FF48C0}
